product_code,base_temper,h_level,product_type,spec_thickness,customer_code
pnyzr,O,0,circle,0.8,2e4c
6kag7,O,0,circle,0.6,59fa
q2wpb,O,0,circle,1.6,3ymh
19oje,h,14,coil,1.25,vu9
mn05l,O,0,circle,2.5,1ub4
lsmek,O,0,circle,1.2,2yn1
79es3,O,0,circle,0.7,29z5
cfrxl,O,0,circle,1.6,2db8
8qpfd,O,0,coil,0.8,3bzd
ujzey,O,0,circle,0.8,2e4c
qt1p1,O,0,circle,3,3xm3
b38dj,O,0,circle,1.8,29z5
rnfg2,O,0,circle,3.5,3xm3
a2wrh,O,0,coil,0.635,3iut
cqarv,O,0,circle,0.9,4d6h
aw9uo,O,0,sheet,1.5,29z5
9pi1o,O,0,circle,1.62,38na
cp402,O,0,circle,0.71,59fa
mk4a2,O,0,circle,1.25,3gmr
muzca,O,0,circle,2,3xm3
as13d,h,12,coil,0.927,3u2q
cme8i,O,0,circle,1,1szt
s6lwx,O,0,circle,1.4,59fa
pl348,O,0,circle,2,2e4c
qxagc,O,0,circle,3,3gmr
ci5h7,h,14,sheet,0.7,29z5
ltaug,O,0,circle,0.71,4d6h
amxs7,O,0,circle,1.6,2db8
m1g54,O,0,circle,1.25,3xm3
r9uma,h,14,circle,0.8,3gmr
colo5,O,0,circle,1.25,3gmr
pje0i,O,0,circle,1,5xdp
lwixx,O,0,circle,3,3xm3
qvf8n,h,14,circle,0.71,3xm3
cdedz,h,14,coil,0.635,xk4
51z53,O,0,circle,1.6,2db8
p22rc,O,0,circle,1.9,1h62
cl1cq,O,0,circle,3,59fa
d26hx,O,0,circle,4,vu9
cupn5,O,0,circle,1,4d6h
84gz0,O,0,coil,0.5,1tpa
mchbb,O,0,circle,2.5,3xm3
5gkmp,O,0,circle,1.3,2e4c
d5qtc,h,14,coil,0.56,vu9
9rd9d,O,0,circle,3,1ted
nmh7s,h,14,circle,0.56,3gmr
liy45,O,0,circle,1,5n66
njlc9,O,0,circle,3.17,38na
8fo96,O,0,circle,1.27,3iut
ub5oe,O,0,circle,2.5,29z5
oskkw,O,0,circle,0.8,2e4c
scpvx,O,0,circle,2.03,4qf6
chaxc,O,0,circle,2,4d6h
ak80n,h,14,sheet,1.65,3jyu
ca6ai,O,0,circle,1,1szt
36xk2,O,0,circle,2.5,2e4c
cd8a0,h,14,coil,0.508,226y
ctv3a,O,0,circle,1,1szt
0v31s,O,0,circle,1.1,3ymh
9q6hk,O,0,circle,2.286,2db8
7z1fw,O,0,coil,0.9144,2fja
ccju4,h,14,circle,0.6,1szt
c5xj7,O,0,circle,1.62,38na
mfpes,O,0,circle,0.9,4d6h
933hc,h,14,circle,0.8,3ymh
tjtwv,O,0,circle,1.27,38na
bsoxd,O,0,circle,1.016,3iut
p3rv2,O,0,circle,2.1,1h62
a802n,O,0,circle,0.7,2yn1
m2z4v,O,0,circle,0.9,4d6h
d311s,O,0,circle,0.56,vu9
m8wzw,O,0,circle,2.8,1szt
8qd7f,O,0,coil,0.55,3bzd
66jig,O,0,circle,3,2e4c
9rjdc,O,0,circle,3,1ted
pzolu,O,0,circle,1.1,1h62
lsa6m,O,0,circle,3,3xm3
d3pho,O,0,circle,1.2,5n66
a4zy7,f,2,hotmill,0.6,2zg5
6w02a,O,0,circle,1.2,1h62
bo3y4,O,0,circle,1.25,4d6h
84t6y,O,0,coil,0.6,2e4c
zuf7s,h,14,circle,0.8,2e4c
7w5kd,O,0,circle,3.175,2db8
cbj6a,h,14,circle,0.7,1szt
c8nar,O,0,circle,2.8,1szt
c7sqw,O,0,circle,1.4,59fa
znswv,O,0,circle,1.3,2e4c
tgy1c,O,0,circle,2.286,2db8
1s0ge,h,14,circle,0.7,3y4a
aqubk,O,0,sheet,1.016,2db8
9ftr9,O,0,circle,3.175,2db8
quwwq,O,0,circle,1.2,29z5
asjfa,h,14,coil,1.6,22ss
s7mkr,O,0,circle,1.6,38na
8q0zh,O,0,coil,0.7,3bzd
r007w,O,0,circle,1.25,3gmr
7lmq3,h,14,coil,1.016,xk4
9a207,O,0,circle,1.6,2db8
p8p29,O,0,circle,3,2e4c
c7giy,O,0,circle,1.6,59fa
csi7i,O,0,circle,1.2,29z5
bn9e9,O,0,circle,0.75,2yn1
6ovfg,O,0,circle,2.03,2db8
ps7r2,h,14,circle,0.6,59fa
b6mkz,O,0,circle,1.6,3ymh
bfsjh,h,14,circle,0.56,2yn1
a4y35,O,0,circle,1.3,3ymh
cpg80,O,0,circle,3,2e4c
cexdq,O,0,coil,0.6,3bzd
m2t0w,O,0,circle,0.9,4d6h
d950s,h,14,circle,0.8,vu9
c2jbr,O,0,circle,1.25,3gmr
ana05,h,14,circle,0.71,4hfb
dcpc7,O,0,circle,3.4,vu9
apbbt,O,0,circle,1.4,1rkv
p2l39,O,0,circle,1.9,1h62
09cxc,O,0,circle,2.5,2e4c
a6ayx,O,0,circle,3,3ymh
ai2g2,h,14,coil,0.61,2zg5
ll5js,O,0,circle,1,1szt
b2q1m,O,0,circle,2.8,1szt
dc70a,O,0,circle,2.03,4qf6
o4n0t,O,0,circle,1.6,2db8
ba0sf,h,14,circle,0.6,3gmr
6a3tv,O,0,circle,3.2,1h62
d7fx2,O,0,circle,0.8,vu9
r8bmj,O,0,circle,4,2e4c
r6yqr,O,0,circle,1.5,3xm3
rrubc,O,0,circle,1.1,1szt
pwyua,O,0,circle,0.6,5n66
1lqdf,O,0,coil,0.55,3bzd
zyu32,O,0,circle,2,2e4c